"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
1000175,"     C/1996 E1 (NEAT)","1996 E1",NEAT,C,,,0,,,12.5,,8.75,,,,,,,,,,,,,,,"JPL 14",2450220.5,50220,1996-05-17.0,J2000,1.0009,-1496,1.359,114.48,149.84,81.11,-0.00,,1.704e-05,2450291.85,1996-07-27.3,,,0.909,354,1.13,,5.5e-06,9.1e+00,1.2e-06,4.1e-05,4.7e-05,7.6e-05,1.1e-05,,1.5e-07,1.2e-04,,HYP,"Otto Matic",211,1996-03-15,1996-10-12,237,,,,.98227,,,,,,,,,
1001281,"     C/1996 E2 (SOHO)","1996 E2",SOHO,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2450153.6,50153,1996-03-11.1,J2000,1.0000,,0.005,143.84,6.11,89.77,,,,2450153.64,1996-03-11.1,,,,,,,,,,,,,,,,,,PAR,,0,1996-03-10,1996-03-10,5,,,,,T,,,,,,,,
1001282,"     C/1996 F2 (SOHO)","1996 F2",SOHO,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2450168.1,50168,1996-03-25.6,J2000,1.0000,,0.005,144.43,3.57,83.45,,,,2450168.10,1996-03-25.6,,,,,,,,,,,,,,,,,,PAR,,2,1996-03-23,1996-03-25,23,,,,,T,,,,,,,,
1001283,"     C/1996 H1 (SOHO)","1996 H1",SOHO,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2450204.0,50203,1996-04-30.4,J2000,1.0000,,0.005,144.43,2.99,82.80,,,,2450203.98,1996-04-30.4,,,,,,,,,,,,,,,,,,PAR,,1,1996-04-29,1996-04-30,10,,,,,T,,,,,,,,
1000158,"     C/1996 J1-A (Evans-Drinkwater)","1996 J1-A",Evans-Drinkwater,C,,,0,,,6.5,,10.0,,,,,,,,,,,,,,,"JPL 26",2450840.5,50840,1998-01-27.0,J2000,1.0010,-1262,1.298,22.52,278.17,14.80,0.01,,2.199e-05,2450447.88,1996-12-30.3,,,0.29,113,,,2.0e-05,2.4e+01,1.2e-05,7.6e-05,3.9e-04,6.3e-04,2.5e-04,,6.3e-07,2.5e-03,,HYP,,,,,,,,,,,,,,,,,,
1000159,"     C/1996 J1-B (Evans-Drinkwater)","1996 J1-B",Evans-Drinkwater,C,,,0,,,9.0,10.0,6.5,10.0,,,,,,,,,,,,,,"JPL 19",2451200.5,51200,1999-01-22.0,J2000,1.0006,-2189,1.299,22.51,278.18,14.85,0.01,,9.625e-06,2450447.71,1996-12-30.2,,,0.293,114,,,3.7e-06,1.4e+01,2.1e-06,2.9e-05,1.3e-04,1.8e-04,6.8e-05,,9.0e-08,7.7e-04,,HYP,"M.S.W. Keesey",951,1996-05-10,1998-12-17,522,,,0,.73841,,,,,,,,,
1001284,"     C/1996 L1 (SOHO)","1996 L1",SOHO,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2450245.9,50245,1996-06-11.4,J2000,1.0000,,0.005,143.84,12.92,90.23,,,,2450245.90,1996-06-11.4,,,,,,,,,,,,,,,,,,PAR,,0,1996-06-10,1996-06-10,4,,,,,T,,,,,,,,
1001683,"     C/1996 L2 (SOHO)","1996 L2",SOHO,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2450248.9,50248,1996-06-14.3,J2000,1.0000,,0.005,143.19,333.67,57.28,,,,2450248.85,1996-06-14.3,,,,,,,,,,,,,,,,,,PAR,,0,1996-06-13,1996-06-13,7,,,,,T,,,,,,,,
1001285,"     C/1996 M1 (SOHO)","1996 M1",SOHO,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2450253.5,50253,1996-06-18.9,J2000,1.0000,,0.005,144.50,3.29,82.69,,,,2450253.48,1996-06-18.9,,,,,,,,,,,,,,,,,,PAR,,1,1996-06-17,1996-06-18,15,,,,,T,,,,,,,,
1001286,"     C/1996 M2 (SOHO)","1996 M2",SOHO,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2450261.6,50261,1996-06-27.1,J2000,1.0000,,0.005,143.42,12.91,90.60,,,,2450261.60,1996-06-27.1,,,,,,,,,,,,,,,,,,PAR,,1,1996-06-25,1996-06-26,16,,,,,T,,,,,,,,
